№ (сверху вниз),Код,Тело (пласт / междупластье),Цвет (из палитры),Толща / состав (заполнить),Примечание (заполнить)
1,Q,пласт,#ffffff,покровные отложения,пример заполнения: сотрите и напишите своё
2,ПЦТ,пласт,#8b6914,,
3,ТКТ,пласт,#53e753,,
4,СМТ,пласт,#499c49,,
5,ПП,пласт,#add8e6,,
6,ПКС,пласт,#1e3bff,,
7,К,пласт,#ffff00,,
8,И-К,междупластье,#add8e6,,
9,И,пласт,#ffff00,,
10,З-И,междупластье,#add8e6,,
11,З,пласт,#ffff00,,
12,Ж-З,междупластье,#add8e6,,
13,Ж,пласт,#ffff00,,
14,Е-Ж,междупластье,#add8e6,,
15,Е,пласт,#ffff00,,
16,Д-Е,междупластье,#add8e6,,
17,Д,пласт,#ffff00,,
18,Г-Д,междупластье,#add8e6,,
19,Г,пласт,#ffff00,,
20,В-Г,междупластье,#add8e6,,
21,В,пласт,#ffa500,,
22,Б-В,междупластье,#add8e6,,
23,АБ,пласт,#008000,,Может называться А'Б
24,А'-КрI,междупластье,#add8e6,,
25,КрI,пласт,#ffc0cb,,
26,КрI-КрII,междупластье,#add8e6,,
27,КрII,пласт,#ff0000,,
28,КрII-КрIII,междупластье,#add8e6,,
29,КрIIIа,пласт,#ffc0cb,,
30,КрIIIа-б,междупластье,#add8e6,,
31,КрIIIб,пласт,#ffc0cb,,
32,КрIIIа+б,пласт,#969696,,"составное тело (КрIIIа + КрIIIа-б + КрIIIб): цвет серый, поставьте свой"
33,КрIIIб-в,междупластье,#add8e6,,
34,КрIIIв,пласт,#ffc0cb,,
35,ПДКС,пласт,#1e90ff,,
36,МГ,пласт,#4d4d4d,маркирующая глина,
37,НКС,пласт,#4859ff,,
